id	filename	md5	size	state
2bcf7e0a-92bb-4975-9358-d55f3284d153	2bcf7e0a-92bb-4975-9358-d55f3284d153/jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-28-5208-01A-01D-1481-05.gdc_hg38.txt	8ec43c4b4b155e049ff2648bcd5835b9	141298378	live
3022de86-648b-484e-baaa-7f16dfce6b0b	3022de86-648b-484e-baaa-7f16dfce6b0b/jhu-usc.edu_GBM.HumanMethylation450.2.lvl-3.TCGA-06-0210-01A-01D-A45W-05.gdc_hg38.txt	1f4b5bd5edfdd7abbdee5041a746971e	141294092	live
32811fa7-cc05-4bba-8155-f249e1eab9bf	32811fa7-cc05-4bba-8155-f249e1eab9bf/jhu-usc.edu_GBM.HumanMethylation27.8.lvl-3.TCGA-32-2634-01A-01D-0915-05.gdc_hg38.txt	b1f2ae263194d7601c75c90b9fcbce0b	9952537	live
3678779e-0971-4b04-bac2-f5f9c42490d2	3678779e-0971-4b04-bac2-f5f9c42490d2/jhu-usc.edu_GBM.HumanMethylation27.6.lvl-3.TCGA-14-0790-01B-01D-0788-05.gdc_hg38.txt	6e6b0f1b35a400ae0997d7199e5f5329	9952423	live
374d6d40-766c-4dd9-9230-7222d57b1a62	374d6d40-766c-4dd9-9230-7222d57b1a62/jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-76-4927-01A-01D-1481-05.gdc_hg38.txt	0470b7483a17e6e87bfc90e44376bfb9	141286886	live
382c701d-e5b0-4561-bc33-d04254fd8807	382c701d-e5b0-4561-bc33-d04254fd8807/jhu-usc.edu_GBM.HumanMethylation27.5.lvl-3.TCGA-14-1825-01A-01D-0595-05.gdc_hg38.txt	b9076575faa2a0bd8a30ad59c9c7d7d3	9959397	live
3b1906af-f54c-46f5-bbe7-1ca7e0ed20ff	3b1906af-f54c-46f5-bbe7-1ca7e0ed20ff/jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-28-5209-01A-01D-1481-05.gdc_hg38.txt	67463bd757f42a20c0ab3b9a142d9e77	141287841	live
3cf7869b-c742-46c0-8168-d505fe1f4045	3cf7869b-c742-46c0-8168-d505fe1f4045/jhu-usc.edu_GBM.HumanMethylation27.6.lvl-3.TCGA-02-2486-01A-01D-0788-05.gdc_hg38.txt	f2514c07cdc13c45657d53653e80d38e	9952213	live
3dccf87c-fd84-4e0d-9f91-426ed2e59751	3dccf87c-fd84-4e0d-9f91-426ed2e59751/jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-06-5412-01A-01D-1697-05.gdc_hg38.txt	9b187acd470023af040da574fd150242	141289170	live
3f69187b-6bb7-4742-8be8-a41a9bf26de2	3f69187b-6bb7-4742-8be8-a41a9bf26de2/jhu-usc.edu_GBM.HumanMethylation450.6.lvl-3.TCGA-28-5204-01A-01D-1481-05.gdc_hg38.txt	12222f367a8bbacf7c9be9e9a3ff324d	141290860	live
